,premium,medium,bad
1-2017,9431.37,9099.52,8669.3
2-2017,9408.39,9047.57,8583.76
3-2017,9388.53,8705.43,8339.21
4-2017,9324.6,8653.8,8306.48
5-2017,9436.19,8790.17,8374.33
6-2017,9444.28,8794.48,8380.34
7-2017,9383.68,8743.86,8357.87
8-2017,9436.74,8823.05,8436.37
9-2017,9470.59,8935.02,8672.42
10-2017,9502.67,9116.5,8833.99
11-2017,9538.75,9279.52,9039.44
12-2017,9860.39,9526.01,9308.9
1-2018,10349.91,10177.05,9792.59
2-2018,10381.74,10215.16,9987.1
3-2018,9892.56,9698.23,9554.06
4-2018,9524.96,9220.84,8991.36
5-2018,9523.88,9190.37,9001.5
6-2018,9478.05,9135.41,8941.38
7-2018,9519.93,9197.78,9014.56
8-2018,9458.07,9172.27,8976.97
9-2018,9572.03,9309.98,9125.0
10-2018,9645.3,9395.39,9193.73
11-2018,9770.97,9603.63,9425.68
12-2018,9818.07,9798.38,9432.32
1-2019,10111.08,9902.68,9536.3
2-2019,10007.91,9799.57,9474.5
3-2019,9814.53,9555.35,9271.13
4-2019,9464.68,9144.2,8936.36
5-2019,9462.05,9142.52,8953.33
6-2019,9515.51,9166.4,9011.62
7-2019,9519.35,9211.03,8931.02
8-2019,9530.0,9224.0,9048.0
9-2019,9594.39,9301.08,9140.6
10-2019,9659.17,9433.88,9241.92
11-2019,9742.16,9522.01,9244.95
12-2019,9838.26,9565.59,9252.55
