,month,premium,medium,bad
0,2013-01-01,7797.63,7697.37,7545.32
1,2013-02-01,7773.26,7645.05,7328.44
2,2013-03-01,7576.27,7503.27,7033.14
3,2013-04-01,7420.72,7290.96,6870.91
4,2013-05-01,7545.4,7261.71,6832.74
5,2013-06-01,7548.22,7419.63,7094.9
6,2013-07-01,7823.68,7553.54,7296.35
7,2013-08-01,7761.29,7524.03,7440.57
8,2013-09-01,7746.17,7652.87,7345.4
9,2013-10-01,7846.05,7702.05,7374.66
10,2013-11-01,7919.98,7732.47,7581.72
11,2013-12-01,7976.72,7871.21,7740.0
0,2014-01-01,8208.79,8028.48,7902.25
1,2014-02-01,8303.23,8129.02,8060.93
2,2014-03-01,8192.87,8083.86,8065.48
3,2014-04-01,7919.93,7830.22,7619.57
4,2014-05-01,8009.43,7805.76,7680.06
5,2014-06-01,8167.57,7797.08,7706.25
6,2014-07-01,8228.3,7939.0,7623.3
7,2014-08-01,8329.47,8009.58,7736.84
8,2014-09-01,8310.51,8125.93,7557.46
9,2014-10-01,8396.86,8126.34,7693.15
10,2014-11-01,8555.14,8372.84,7962.07
11,2014-12-01,9018.39,8992.57,8412.28
0,2015-01-01,9723.46,9548.24,9280.39
1,2015-02-01,9784.7,9621.7,9194.53
2,2015-03-01,9571.84,9444.35,8995.32
3,2015-04-01,9127.77,8958.89,8510.71
4,2015-05-01,8709.81,8520.39,8061.39
5,2015-06-01,8915.36,8605.95,8120.59
6,2015-07-01,8945.11,8648.44,8307.52
7,2015-08-01,9126.78,8741.08,8724.84
8,2015-09-01,9444.06,8939.61,8906.13
9,2015-10-01,9455.01,8960.96,8916.92
10,2015-11-01,9564.26,9271.85,9031.52
11,2015-12-01,9663.57,9450.66,9203.28
0,2016-01-01,9723.46,9548.24,9280.39
1,2016-02-01,9784.7,9621.7,9194.53
2,2016-03-01,9571.84,9444.35,8995.32
3,2016-04-01,9127.77,8958.89,8510.71
4,2016-05-01,9181.93,8835.54,8488.49
5,2016-06-01,9354.34,8972.68,8581.74
6,2016-07-01,9374.37,8932.18,8557.5
7,2016-08-01,9367.3,8900.9,8501.98
8,2016-09-01,9110.58,8965.31,8577.6
9,2016-10-01,9132.58,8980.85,8597.49
10,2016-11-01,9257.36,9049.87,8632.24
11,2016-12-01,9341.58,9069.0,8657.71
0,2017-01-01,9431.37,9099.52,8669.3
1,2017-02-01,9408.39,9047.57,8583.76
2,2017-03-01,9388.53,8705.43,8339.21
3,2017-04-01,9324.6,8653.8,8306.48
4,2017-05-01,9436.19,8790.17,8374.33
5,2017-06-01,9444.28,8794.48,8380.34
6,2017-07-01,9383.68,8743.86,8357.87
7,2017-08-01,9436.74,8823.05,8436.37
8,2017-09-01,9470.59,8935.02,8672.42
9,2017-10-01,9502.67,9116.5,8833.99
10,2017-11-01,9538.75,9279.52,9039.44
11,2017-12-01,9860.39,9526.01,9308.9
0,2018-01-01,10349.91,10177.05,9792.59
1,2018-02-01,10381.74,10215.16,9987.1
2,2018-03-01,9892.56,9698.23,9554.06
3,2018-04-01,9524.96,9220.84,8991.36
4,2018-05-01,9523.88,9190.37,9001.5
5,2018-06-01,9478.05,9135.41,8941.38
6,2018-07-01,9519.93,9197.78,9014.56
7,2018-08-01,9458.07,9172.27,8976.97
8,2018-09-01,9572.03,9309.98,9125.0
9,2018-10-01,9645.3,9395.39,9193.73
10,2018-11-01,9770.97,9603.63,9425.68
11,2018-12-01,9818.07,9798.38,9432.32
0,2019-01-01,10111.08,9902.68,9536.3
1,2019-02-01,10007.91,9799.57,9474.5
2,2019-03-01,9814.53,9555.35,9271.13
3,2019-04-01,9464.68,9144.2,8936.36
4,2019-05-01,9462.05,9142.52,8953.33
5,2019-06-01,9515.51,9166.4,9011.62
6,2019-07-01,9519.35,9211.03,8931.02
7,2019-08-01,9530.0,9224.0,9048.0
8,2019-09-01,9594.39,9301.08,9140.6
9,2019-10-01,9659.17,9433.88,9241.92
10,2019-11-01,9742.16,9522.01,9244.95
11,2019-12-01,9838.26,9565.59,9252.55
0,2020-01-01,10032.66,9805.4,9518.85
1,2020-02-01,10080.8,9844.13,9521.95
2,2020-03-01,10082.43,9826.68,9460.76
3,2020-04-01,10018.19,9671.03,8989.0
4,2020-05-01,9826.63,9526.55,8972.52
5,2020-06-01,9918.95,9445.31,8926.15
6,2020-07-01,9931.71,9316.3,8919.58
7,2020-08-01,9962.65,9334.9,8986.32
8,2020-09-01,9871.12,9404.58,9026.05
9,2020-10-01,9812.9,9462.81,9146.54
10,2020-11-01,9714.5,9384.98,9094.69
11,2020-12-01,9787.86,9382.69,9055.5
0,2021-01-01,9780.19,9404.74,9036.42
1,2021-02-01,9772.1,9386.31,9145.73
2,2021-03-01,9606.97,9153.68,8741.8
3,2021-04-01,9549.76,8978.86,8675.23
4,2021-05-01,9627.08,8909.5,8710.44
5,2021-06-01,9537.16,8906.67,8694.95
6,2021-07-01,9401.61,8886.9,8481.43
7,2021-08-01,9499.36,8915.75,8688.77
8,2021-09-01,9455.56,8962.39,8588.59
9,2021-10-01,9449.47,9010.82,8630.83
10,2021-11-01,9539.29,9071.94,8711.19
11,2021-12-01,9672.54,9128.44,8888.5
