,premium,medium,bad
2021-01-01,9780.19,9404.74,9036.42
2021-02-01,9772.10,9386.31,9145.73
2021-03-01,9606.97,9153.68,8741.80
2021-04-01,9549.76,8978.86,8675.23
2021-05-01,9627.08,8909.50,8710.44
2021-06-01,9537.16,8906.67,8694.95
2021-07-01,9401.61,8886.90,8481.43
2021-08-01,9499.36,8915.75,8688.77
2021-09-01,9455.56,8962.39,8588.59
2021-10-01,9449.47,9010.82,8630.83
2021-11-01,9539.29,9071.94,8711.19
2021-12-01,9672.54,9128.44,8888.50
