,premium,medium,bad
2020-01-01,10032.66,9805.4,9518.85
2020-02-01,10080.8,9844.13,9521.95
2020-03-01,10082.43,9826.68,9460.76
2020-04-01,10018.19,9671.03,8989.0
2020-05-01,9826.63,9526.55,8972.52
2020-06-01,9918.95,9445.31,8926.15
2020-07-01,9931.71,9316.3,8919.58
2020-08-01,9962.65,9334.9,8986.32
2020-09-01,9871.12,9404.58,9026.05
2020-10-01,9812.9,9462.81,9146.54
2020-11-01,9714.5,9384.98,9094.69
2020-12-01,9787.86,9382.69,9055.5
2021-01-01,9780.19,9404.74,9036.42
2021-02-01,9772.1,9386.31,9145.73
2021-03-01,9606.97,9153.68,8741.8
2021-04-01,9549.76,8978.86,8675.23
2021-05-01,9627.08,8909.5,8710.44
2021-06-01,9537.16,8906.67,8694.95
2021-07-01,9401.61,8886.9,8481.43
2021-08-01,9499.36,8915.75,8688.77
2021-09-01,9455.56,8962.39,8588.59
2021-10-01,9449.47,9010.82,8630.83
2021-11-01,9539.29,9071.94,8711.19
2021-12-01,9672.54,9128.44,8888.5
2022-01-01,9824.23,9381.24,9038.14
2022-02-01,9826.88,9358.61,9061.74
2022-03-01,9786.63,9323.35,9061.05
2022-04-01,9576.75,9104.35,8853.24
2022-05-01,9512.63,9065.18,8902.12
2022-06-01,9497.4,9007.86,8848.66
2022-07-01,9628.57,9091.92,8905.52
2022-08-01,9901.15,9358.34,9069.27
2022-09-01,10252.31,9785.04,9465.63
2022-10-01,10402.23,10043.47,9516.09
2022-11-01,10511.71,10122.15,9542.12
2022-12-01,0.0,0.0,0.0
