,premium,medium,bad
1-2013,7797.63,7697.37,7545.32
2-2013,7773.26,7645.05,7328.44
3-2013,7576.27,7503.27,7033.14
4-2013,7420.72,7290.96,6870.91
5-2013,7545.4,7261.71,6832.74
6-2013,7548.22,7419.63,7094.9
7-2013,7823.68,7553.54,7296.35
8-2013,7761.29,7524.03,7440.57
9-2013,7746.17,7652.87,7345.4
10-2013,7846.05,7702.05,7374.66
11-2013,7919.98,7732.47,7581.72
12-2013,7976.72,7871.21,7740.0
1-2014,8208.79,8028.48,7902.25
2-2014,8303.23,8129.02,8060.93
3-2014,8192.87,8083.86,8065.48
4-2014,7919.93,7830.22,7619.57
5-2014,8009.43,7805.76,7680.06
6-2014,8167.57,7797.08,7706.25
7-2014,8228.3,7939.0,7623.3
8-2014,8329.47,8009.58,7736.84
9-2014,8310.51,8125.93,7557.46
10-2014,8396.86,8126.34,7693.15
11-2014,8555.14,8372.84,7962.07
12-2014,9018.39,8992.57,8412.28
1-2015,9723.46,9548.24,9280.39
2-2015,9784.7,9621.7,9194.53
3-2015,9571.84,9444.35,8995.32
4-2015,9127.77,8958.89,8510.71
5-2015,8709.81,8520.39,8061.39
6-2015,8915.36,8605.95,8120.59
7-2015,8945.11,8648.44,8307.52
8-2015,9126.78,8741.08,8724.84
9-2015,9444.06,8939.61,8906.13
10-2015,9455.01,8960.96,8916.92
11-2015,9564.26,9271.85,9031.52
12-2015,9663.57,9450.66,9203.28
1-2016,9723.46,9548.24,9280.39
2-2016,9784.7,9621.7,9194.53
3-2016,9571.84,9444.35,8995.32
4-2016,9127.77,8958.89,8510.71
5-2016,9181.93,8835.54,8488.49
6-2016,9354.34,8972.68,8581.74
7-2016,9374.37,8932.18,8557.5
8-2016,9367.3,8900.9,8501.98
9-2016,9110.58,8965.31,8577.6
10-2016,9132.58,8980.85,8597.49
11-2016,9257.36,9049.87,8632.24
12-2016,9341.58,9069.0,8657.71
